"rank","country","density","densityMi","pop2022","area"
"1","Macau","22249.6667","57626.6367","667.4900","30"
"2","Monaco","19891.5000","51518.9850","39.7830","2"
"3","Singapore","8371.1915","21681.3861","5943.5460","710"
"4","Hong Kong","6887.9520","17839.7957","7604.2990","1104"
"5","Gibraltar","5617.3333","14548.8933","33.7040","6"
"6","Bahrain","2332.0039","6039.8902","1783.9830","765"
"7","Maldives","1803.2833","4670.5038","540.9850","300"
"8","Malta","1405.1677","3639.3844","444.0330","316"
"9","Sint Maarten","1293.1176","3349.1747","43.9660","34"
"10","Bermuda","1147.0185","2970.7780","61.9390","54"
"11","Bangladesh","1137.6682","2946.5605","167885.6890","147570"
"12","Palestine","859.4117","2225.8764","5345.5410","6220"
"13","Vatican City","799","2069.4100","0.7990","1"
"14","Mayotte","765.3984","1982.3818","286.2590","374"
"15","Saint Martin","749.6226","1941.5226","39.7300","53"
"16","Barbados","669.8209","1734.8362","288.0230","430"
"17","Taiwan","660.0336","1709.4869","23888.5950","36193"
"18","Lebanon","639.5761","1656.5020","6684.8490","10452"
"19","Mauritius","624.8662","1618.4034","1274.7270","2040"
"20","Aruba","597.8278","1548.3739","107.6090","180"
"21","San Marino","558.7705","1447.2156","34.0850","61"
"22","Nauru","519.1905","1344.7033","10.9030","21"
"23","Rwanda","516.3818","1337.4289","13600.4640","26338"
"24","South Korea","512.2233","1326.6584","51329.8990","100210"
"25","Comoros","487.3357","1262.1994","907.4190","1862"
"26","Saint Barthelemy","473.5714","1226.5500","9.9450","21"
"27","Tuvalu","464.0769","1201.9592","12.0660","26"
"28","Burundi","453.5762","1174.7624","12624.8400","27834"
"29","Israel","429.6048","1112.6765","8922.8920","20770"
"30","India","427.8611","1108.1602","1406631.7760","3287590"
"31","Haiti","420.9111","1090.1597","11680.2830","27750"
"32","Netherlands","411.2652","1065.1768","17211.4470","41850"
"33","Belgium","382.2156","989.9384","11668.2780","30528"
"34","Curacao","372.8131","965.5858","165.5290","444"
"35","Reunion","361.6332","936.6300","908.0610","2511"
"36","Japan","332.2966","860.6481","125584.8380","377930"
"37","Marshall Islands","331.8066","859.3792","60.0570","181"
"38","Martinique","331.6374","858.9409","374.0870","1128"
"39","Grenada","329.8692","854.3612","113.4750","344"
"40","Sri Lanka","328.8499","851.7212","21575.8420","65610"
"41","Philippines","328.6345","851.1633","112508.9940","342353"
"42","Puerto Rico","319.0318","826.2923","2829.8120","8870"
"43","Guam","312.4208","809.1698","171.5190","549"
"44","El Salvador","311.3155","806.3071","6550.3890","21041"
"45","Saint Lucia","300.5081","778.3160","185.1130","616"
"46","United States Virgin Islands","299.6282","776.0371","103.9710","347"
"47","Vietnam","298.7619","773.7934","98953.5410","331212"
"48","Saint Vincent and the Grenadines","286.7635","742.7175","111.5510","389"
"49","United Kingdom","282.0004","730.3811","68497.9070","242900"
"50","American Samoa","276.5327","716.2196","55.0300","199"
"51","Trinidad and Tobago","274.1881","710.1472","1406.5850","5130"
"52","Jamaica","271.5944","703.4295","2985.0940","10991"
"53","Pakistan","260.2176","673.9635","229488.9940","881912"
"54","Qatar","257.1996","666.1471","2979.9150","11586"
"55","Cayman Islands","254.8371","660.0281","67.2770","264"
"56","Luxembourg","248.4033","643.3646","642.3710","2586"
"57","Kuwait","245.8371","636.7182","4380.3260","17818"
"58","Guadeloupe","245.5737","636.0359","399.7940","1628"
"59","Liechtenstein","239.9187","621.3896","38.3870","160"
"60","Gambia","239.3565","619.9334","2558.4820","10689"
"61","Sao Tome and Principe","236.1815","611.7102","227.6790","964"
"62","Germany","234.8930","608.3730","83883.5960","357114"
"63","Nigeria","234.6335","607.7008","216746.9340","923768"
"64","Dominican Republic","227.1655","588.3585","11056.3700","48671"
"65","Antigua and Barbuda","225.1335","583.0957","99.5090","442"
"66","Seychelles","219.9690","569.7198","99.4260","452"
"67","North Korea","215.6223","558.4617","25990.6790","120538"
"68","Switzerland","212.5191","550.4244","8773.6370","41284"
"69","Saint Kitts and Nevis","206.4023","534.5820","53.8710","261"
"70","Nepal","205.3633","531.8911","30225.5820","147181"
"71","British Virgin Islands","202.6225","524.7923","30.5960","151"
"72","Uganda","200.5086","519.3174","48432.8630","241550"
"73","Italy","199.9853","517.9619","60262.7700","301336"
"74","Guatemala","170.6696","442.0342","18584.0390","108889"
"75","Malawi","170.3254","441.1429","20180.8390","118484"
"76","Micronesia","167.3632","433.4708","117.4890","702"
"77","Anguilla","167.3626","433.4692","15.2300","91"
"78","Andorra","165.5192","428.6948","77.4630","468"
"79","Togo","152.8720","395.9385","8680.8370","56785"
"80","Kiribati","152.1813","394.1495","123.4190","811"
"81","Isle of Man","149.8811","388.1921","85.7320","572"
"82","China","149.2199","386.4794","1448471.4000","9706961"
"83","Indonesia","146.5605","379.5916","279134.5050","1904569"
"84","Tonga","144.2423","373.5876","107.7490","747"
"85","Cape Verde","140.7582","364.5639","567.6780","4033"
"86","Thailand","136.5727","353.7234","70078.2030","513120"
"87","Czech Republic","136.1413","352.6060","10736.7840","78865"
"88","Ghana","135.8112","351.7510","32395.4500","238533"
"89","Denmark","135.4005","350.6873","5834.9500","43094"
"90","Cyprus","132.2438","342.5113","1223.3870","9251"
"91","Northern Mariana Islands","125.5797","325.2515","58.2690","464"
"92","Poland","120.6982","312.6083","37739.7850","312679"
"93","United Arab Emirates","120.5955","312.3424","10081.7850","83600"
"94","Azerbaijan","118.9400","308.0546","10300.2050","86600"
"95","France","118.8782","307.8946","65584.5180","551695"
"96","Moldova","118.5715","307.1002","4013.1710","33846"
"97","Sierra Leone","115.7853","299.8839","8306.4360","71740"
"98","Jordan","115.2970","298.6194","10300.8690","89342"
"99","Tokelau","114.8333","297.4183","1.3780","12"
"100","Benin","113.5189","294.0140","12784.7260","112622"
"101","Slovakia","111.3484","288.3924","5460.1930","49037"
"102","Portugal","110.1159","285.2001","10140.5700","92090"
"103","Ethiopia","109.4021","283.3513","120812.6980","1104300"
"104","Turkey","109.1962","282.8181","85561.9760","783562"
"105","Austria","108.1030","279.9869","9066.7100","83871"
"106","Egypt","105.8972","274.2739","106156.6920","1002450"
"107","Syria","104.5729","270.8438","19364.8090","185180"
"108","Hungary","103.2620","267.4486","9606.2590","93028"
"109","Cuba","102.8872","266.4777","11305.6520","109884"
"110","Slovenia","102.5025","265.4816","2078.0340","20273"
"111","Costa Rica","101.4159","262.6673","5182.3540","51100"
"112","Malaysia","100.3046","259.7890","33181.0720","330803"
"113","Armenia","99.9215","258.7968","2971.9660","29743"
"114","Albania","99.7069","258.2409","2866.3740","28748"
"115","Serbia","97.9280","253.6335","8653.0160","88361"
"116","Kenya","96.8615","250.8713","56215.2210","580367"
"117","Dominica","96.3302","249.4953","72.3440","751"
"118","Iraq","96.1974","249.1513","42164.9650","438317"
"119","Cambodia","94.8360","245.6253","17168.6390","181035"
"120","Spain","92.3318","239.1393","46719.1420","505992"
"121","Timor-Leste","92.0686","238.4578","1369.4290","14874"
"122","Honduras","90.8620","235.3326","10221.2470","112492"
"123","Senegal","89.7392","232.4245","17653.6710","196722"
"124","Ivory Coast","86.0325","222.8242","27742.2980","322463"
"125","Morocco","84.5880","219.0828","37772.7560","446550"
"126","Myanmar","81.6272","211.4144","55227.1430","676578"
"127","Burkina Faso","80.9726","209.7189","22102.8380","272967"
"128","North Macedonia","80.9436","209.6440","2081.3040","25713"
"129","Romania","79.8324","206.7660","19031.3350","238391"
"130","Greece","78.1623","202.4403","10316.6370","131990"
"131","Wallis and Futuna","77.3380","200.3055","10.9820","142"
"132","Brunei","77.2647","200.1156","445.4310","5765"
"133","Uzbekistan","76.8486","199.0380","34382.0840","447400"
"134","Cook Islands","74.4534","192.8343","17.5710","236"
"135","Tunisia","73.6303","190.7025","12046.6560","163610"
"136","Croatia","71.7264","185.7715","4059.2860","56594"
"137","Lesotho","71.6751","185.6386","2175.6990","30355"
"138","Ukraine","71.5694","185.3647","43192.1220","603500"
"139","Ireland","71.4385","185.0258","5020.1990","70273"
"140","Samoa","71.1608","184.3065","202.2390","2842"
"141","Tajikistan","69.5840","180.2224","9957.4640","143100"
"142","Eswatini","68.2341","176.7263","1184.8170","17364"
"143","French Polynesia","68.1939","176.6222","284.1640","4167"
"144","Tanzania","66.9764","173.4689","63298.5500","945087"
"145","Mexico","66.9744","173.4636","131562.7720","1964375"
"146","Ecuador","65.4288","169.4605","18113.3610","276841"
"147","Bosnia and Herzegovina","63.4521","164.3409","3249.3170","51209"
"148","Afghanistan","62.4847","161.8353","40754.3880","652230"
"149","Bulgaria","61.7303","159.8815","6844.5970","110879"
"150","Yemen","59.0090","152.8333","31154.8670","527968"
"151","Panama","58.9650","152.7194","4446.9640","75417"
"152","Cameroon","58.7065","152.0499","27911.5480","475442"
"153","Guinea-Bissau","57.1174","147.9341","2063.3670","36125"
"154","Georgia","56.9403","147.4753","3968.7380","69700"
"155","Guinea","56.3974","146.0692","13865.6910","245857"
"156","Equatorial Guinea","53.3550","138.1895","1496.6620","28051"
"157","Iran","52.1921","135.1777","86022.8370","1648195"
"158","Nicaragua","51.9977","134.6741","6779.1000","130373"
"159","Fiji","49.7738","128.9140","909.4660","18272"
"160","South Africa","49.7578","128.8727","60756.1350","1221037"
"161","Madagascar","49.7036","128.7324","29178.0770","587041"
"162","Montserrat","48.6765","126.0721","4.9650","102"
"163","Liberia","47.6355","123.3759","5305.1170","111369"
"164","Montenegro","45.4641","117.7520","627.9500","13812"
"165","Belarus","45.4374","117.6828","9432.8000","207600"
"166","Colombia","45.1175","116.8542","51512.7620","1141748"
"167","Djibouti","43.7973","113.4350","1016.0970","23200"
"168","Turks and Caicos Islands","41.9209","108.5751","39.7410","948"
"169","Mozambique","41.2798","106.9146","33089.4610","801590"
"170","Lithuania","40.7612","105.5716","2661.7080","65300"
"171","DR Congo","40.6169","105.1977","95240.7920","2344858"
"172","Palau","39.7233","102.8834","18.2330","459"
"173","Zimbabwe","39.2352","101.6192","15331.4280","390757"
"174","United States","35.7217","92.5191","334805.2690","9372610"
"175","Faroe Islands","35.3431","91.5387","49.2330","1393"
"176","Kyrgyzstan","33.6496","87.1525","6728.2710","199951"
"177","Venezuela","31.9353","82.7126","29266.9910","916445"
"178","Laos","31.5922","81.8237","7481.0230","236800"
"179","Eritrea","31.1415","80.6566","3662.2440","117600"
"180","Estonia","29.2283","75.7014","1321.9100","45227"
"181","Bahamas","28.7252","74.3984","400.5160","13943"
"182","Latvia","28.6379","74.1723","1848.8370","64559"
"183","Angola","28.0960","72.7688","35027.3430","1246700"
"184","Somalia","26.4120","68.4071","16841.7950","637657"
"185","Vanuatu","26.4035","68.3850","321.8320","12189"
"186","Peru","26.2090","67.8813","33684.2080","1285216"
"187","Zambia","25.8702","67.0039","19470.2340","752612"
"188","Chile","25.4598","65.9408","19250.1950","756102"
"189","Brazil","25.2888","65.4980","215353.5930","8515767"
"190","Solomon Islands","24.9571","64.6388","721.1590","28896"
"191","Sudan","24.3851","63.1575","45992.0200","1886068"
"192","Saint Pierre and Miquelon","23.7975","61.6356","5.7590","242"
"193","Sweden","22.6939","58.7773","10218.9710","450295"
"194","Niger","20.5869","53.3202","26083.6600","1267000"
"195","Bhutan","20.5225","53.1533","787.9410","38394"
"196","Papua New Guinea","20.0764","51.9979","9292.1690","462840"
"197","Uruguay","19.3114","50.0165","3496.0160","181034"
"198","Algeria","19.0408","49.3156","45350.1480","2381741"
"199","South Sudan","18.7472","48.5554","11618.5110","619745"
"200","New Zealand","18.1102","46.9053","4898.2030","270467"
"201","Paraguay","17.9614","46.5201","7305.8430","406752"
"202","Belize","17.9478","46.4849","412.1900","22966"
"203","Mali","17.3149","44.8455","21473.7640","1240192"
"204","Oman","17.2019","44.5530","5323.9930","309500"
"205","Norway","17.0208","44.0839","5511.3700","323802"
"206","Republic of the Congo","16.9526","43.9074","5797.8050","342000"
"207","Saudi Arabia","16.6745","43.1868","35844.9090","2149690"
"208","Argentina","16.5481","42.8595","46010.2340","2780400"
"209","Finland","16.4142","42.5128","5554.9600","338424"
"210","New Caledonia","15.6616","40.5637","290.9150","18575"
"211","Chad","13.5620","35.1255","17413.5800","1284000"
"212","Turkmenistan","12.7063","32.9093","6201.9430","488100"
"213","Bolivia","10.9165","28.2737","11992.6560","1098581"
"214","Gabon","8.7105","22.5603","2331.5330","267668"
"215","Russia","8.5275","22.0863","145805.9470","17098242"
"216","Central African Republic","8.0527","20.8564","5016.6780","622984"
"217","Kazakhstan","7.0480","18.2543","19205.0430","2724900"
"218","Niue","6.2385","16.1576","1.6220","260"
"219","Mauritania","4.7560","12.3180","4901.9810","1030700"
"220","Botswana","4.1944","10.8636","2441.1620","582000"
"221","Libya","4.0015","10.3638","7040.7450","1759540"
"222","Canada","3.8447","9.9579","38388.4190","9984670"
"223","French Guiana","3.7610","9.7409","314.1690","83534"
"224","Guyana","3.6938","9.5669","794.0450","214969"
"225","Suriname","3.6432","9.4359","596.8310","163820"
"226","Australia","3.3891","8.7777","26068.7920","7692024"
"227","Iceland","3.3533","8.6851","345.3930","103000"
"228","Namibia","3.1902","8.2626","2633.8740","825615"
"229","Western Sahara","2.3540","6.0968","626.1610","266000"
"230","Mongolia","2.1597","5.5937","3378.0780","1564110"
"231","Falkland Islands","0.2907","0.7530","3.5390","12173"
"232","Greenland","0.0263","0.0681","56.9730","2166086"